English,Estonian
Resident,Elanik
Biased,Erapoolik
Impartial,"Erapooletu, õiglane"
Bigoted,"Fanaatiline, vagatsev"
Utter,Täielik
Solitude,Üksindus
Premises,Ruumid
Bloke,Plika
Sloshed,Lörtsinud
Syrenges,Pritsmed
Rejuvenated,Noorenenud
Deliberately,Tahtlikult
Ruptured,Rebenenud
Liability,Vastutus
Fluke,Juhus
Yield,Järele andma
Unjust,Ebaõiglane
Untenable,Vastuvõetamatu
Attainable,Saavutatav
Depart,Lahkuma
Provisional,Ajutine
Gradually,Järk-järgult
Lousy,Närune
Irrelevant,Ebaoluline
Sleazy,Labane
Flabbergasted,Hämmeldunud
Carnage,Veresaun
Affirmation,Kinnitus
Ensure,Kindlustama
Pristine,Rikkumatu
Unconditional,Tingimusteta
Premeditated,Ettekavatsetud
Auxiliary,Abistav
Dissect,Lahkama
Saturated,Küllastunud
Lithe,Särtsakas
Accuracy,Täpsus
Console,(Midagi) lahutama
Crumpled,Kortsutatud
Evaporated,Aurustunud
Verdict,Kohtuotsus
Bayou,Laht
Riot,Mäss
Beset,Ümbritsema/piirama
Verisimilitude,Tõepärasus
Abducted,Röövitud
Sporadically,Juhuslikult
Indistinguishable,Eristamatu
Diligently,Usinalt
Bombard,Pommitama
Judical System,Kohtusüsteem
Honourably,Austavalt
Ignominiously,Alatult
Compensation,Hüvitis/tasu
Presumptuous,Ennastlik
Essentially,Sisuliselt
Approximately,Umbes
Strenuous,Pingutav
Fervor,Kirglikkus
Incendiary,Sütitav
Omnious,Kurjakuulutav
Steeples,Tornid
Shun,Vältima
Resurrected,Ellu äratatud
Hurl,Loopima
Irrevocably,Pöördumatult
Fret,Muretsema
Cumbersome,Raske
Considerate,Lahke/abivalmis
Inferior,Halvem
Scurry,Kihutama
Petrified,"Kivistunud, hirmunud"
Promptly,Viivitamatult
Staunchly,Kindlalt
Perplexed,"Hämmastunud, segaduses"
Apprehensive,Murettekitav
Absent-minded,Hajameelne
Adaptation,Kohandus
Exhilaration,Rõõmustus
Far-fetched,Kaugeleulatuv
Wacky,"Hullumeelne, veider"
Burrow,Urg
Poultry,Kodulinnud
Fowl,"Kodulind, lind"
Jeopardy,Oht
Indignant,Nördinud
Notorious,Kurikuulus
Poise,Tasakaal
Sewage,Reovesi
Slump,"Kallak, langus"
Foolhardy,"Hulljulge, uisapäine"
Affluent,Jõukas
Vast,Tohutu
Thriving,"Edukas, õitsev"
Alter,Muutma
Gallant,Vapper
Refine,Täiustama
Undergo,Läbima
Amid,Keset
Balmy,Rahustav
Roam,"Rändama, hulkuma"
Seam,Õmblus
Insurgent,Mässaja
Eradicate,"Hävitama, likvideerima"
Friction,Hõõrdumine
Inhibit,Pidurdama
Remedy,Abinõu
Boast,Uhkeldama
Foreseeable,Ettenähtav
Plethora,Üleküllus
Shriek,"Kisa, kiljatus"
Wearily,Väsinult
Abolish,Tühistama
Pilgrimage,Palverännak
Stride,"Samm, sammupikkus"
Surcharge,Lisatasu
Flippant,Kergemeelne
Opulent,"Rikkalik, külluslik"
Feign,Teesklema
Ostensible,Näiline
Bestow,"Andma, annetama"
Feasible,Teostatav
Reiterate,Kordama
Residual,Ülejäänud
Stockpile,"Varu, varuma"
Impudent,"Jultunud, häbematu"
Stampede,Tormama
Observe,"Vaatlema, jälgima"
Hazardous,"Ohtlik, riskantne"
Shrink,"Kahanema, eemale tõmbuma"
Citizen,"Kodanik, elanik"
Raider,"Ründaja, sissetungija"
Invade,Vallutama
Calamity,Õnnetus
Remorseful,Kahetsusväärne
Replica,Koopia
Hardship,Raskus
Surrogate,Asendaja
Determine,"Määrama, otsustama"
Preposition,Eessõna
Aboard,"Pardal, peal"
Accelerate,Kiirendama
Bewildered,"Segaduses, hämmastunud"
Distraught,Häiritud
Circumspect,Ettevaatlik
Broad,Laialdane
Lurk,Luurama
Savage,Metsik
Smudge,"Määrduma, plekk"
Vicious,"Tige, pahatahtlik"
Wail,Halama
Twitch,Tõmblema
Dismal,Masendav
Acquaintance,Tuttav
Crony,Semu
Conviction,Veendumus
Reprimand,Noomitus
Plunge,Sukelduma
Outflank,Väljaspoolt
Pluck,Kitkuma
Anticipate,Ennetama
Adjust,Kohandama
Convert,Teisendama
Confrontational,Vastunduv
Protracted,Pikaajaline
Uplifting,Meeliülendav
Accomodate,Majutama
Amend,"Parandama, muutma"
Petition,Palvekiri
Suspend,Peatama
Arson,Süütamine
Disobedience,Sõnakuulmatus
Drizzly,Vihmane
Blustery,Tormiline
Overcast,Pilves
Blistering,Vilkuv
Acquire,Omandama
Suffix,Järelliide
Retain,Säilitama
Persecute,Taga kiusama
Reminisce,Meenutama
Confide,Usaldama
Confer,"Andma, annetama"
Plain,"Tavaline, lihtne"
Greasy,Rasvane
Recruit,Värbama
Cease,Lõpetama
Occur,Toimuma
Conduct,Läbi viima
Assure,"Tagama, kindlustama"
Conceit,Usklikkus
Tolerate,Taluma
Admire,Imetlema
Devotion,Pühendumus
Rely,Tuginema
Partial,Osaline
Flimsy,Nõrk
Deject,Masendav
Ostensible,Näiline
Rousing,Kaasahaarav
Dingy,Räpane
Obscure,Segane
Grim,Sünge